feature,coefficient,direction
said,18.242,REAL
president donald,9.2064,REAL
wednesday,7.5405,REAL
tuesday,7.313,REAL
thursday,6.545,REAL
friday,6.1037,REAL
monday,5.769,REAL
nov,5.6969,REAL
said statement,5.4711,REAL
washington,5.1243,REAL
president barack,4.5679,REAL
republican,4.5038,REAL
comment,4.3435,REAL
minister,4.3335,REAL
spokesman,4.1616,REAL
democratic,3.9713,REAL
title,3.9054,REAL
said thursday,3.8287,REAL
reporters,3.8222,REAL
trumps,3.6675,REAL
house representatives,3.6488,REAL
said wednesday,3.5799,REAL
election,3.5575,REAL
told reporters,3.5145,REAL
representatives,3.4911,REAL
capital,3.4825,REAL
told,3.4732,REAL
percent,3.4247,REAL
said friday,3.2903,REAL
news conference,3.2783,REAL
image,-11.5474,FAKE
video,-9.0486,FAKE
just,-7.6209,FAKE
gop,-7.2406,FAKE
images,-7.1004,FAKE
president trump,-7.0383,FAKE
obama,-6.0423,FAKE
america,-5.531,FAKE
didn,-5.466,FAKE
president obama,-5.1905,FAKE
mr,-5.1169,FAKE
sen,-5.0073,FAKE
isn,-4.8869,FAKE
rep,-4.7528,FAKE
doesn,-4.7514,FAKE
like,-4.4682,FAKE
watch,-4.4509,FAKE
hillary,-4.369,FAKE
century wire,-4.3055,FAKE
isis,-4.0469,FAKE
fact,-4.0245,FAKE
american,-3.9545,FAKE
read,-3.9163,FAKE
reportedly,-3.7762,FAKE
went,-3.6759,FAKE
saidthe,-3.6512,FAKE
entire,-3.6463,FAKE
news,-3.5827,FAKE
today,-3.5148,FAKE
gov,-3.4919,FAKE
